IPK,Jumlah_Absensi,Waktu_Belajar_Jam,Rasio_Absensi,IPK_x_Study
3.2,5,9,0.3571428571428571,28.8
2.1,12,1,0.8571428571428571,2.1
2.6,9,2,0.6428571428571429,5.2
2.5,10,4,0.7142857142857143,10.0
3.7,2,13,0.1428571428571428,48.1
2.1,11,2,0.7857142857142857,4.2
2.3,12,2,0.8571428571428571,4.6
3.8,2,12,0.1428571428571428,45.6
2.2,11,2,0.7857142857142857,4.4
2.8,9,3,0.6428571428571429,8.399999999999999
2.7,7,4,0.5,10.8
3.3,6,8,0.4285714285714285,26.4
2.5,10,3,0.7142857142857143,7.5
3.8,3,12,0.2142857142857142,45.6
3.9,2,14,0.1428571428571428,54.6
3.6,4,9,0.2857142857142857,32.4
2.8,6,5,0.4285714285714285,14.0
3.6,5,9,0.3571428571428571,32.4
3.4,4,8,0.2857142857142857,27.2
3.4,3,10,0.2142857142857142,34.0
